Transaction Date,Post Date,Description,Category,Type,Amount,Memo
04/21/2021,04/22/2021,Amazon.com*UD0JF7OP3,Shopping,Sale,-61.54,
04/21/2021,04/22/2021,Amazon.com*RR6H278S3,Shopping,Sale,-38.68,
04/20/2021,04/21/2021,AMZN Mktp US,Shopping,Return,42.12,
04/17/2021,04/19/2021,MEIJER # 182,Groceries,Sale,-114.21,
04/16/2021,04/18/2021,AMZN Mktp US,Shopping,Return,23.31,
04/17/2021,04/18/2021,LYFT   *1 RIDE 04-14,Travel,Sale,-11.56,
04/15/2021,04/18/2021,Amazon.com*JT3RH0PI3,Shopping,Sale,-22.86,
04/15/2021,04/16/2021,CITY OF ST. CHARLES,Bills & Utilities,Sale,-263.40,
04/14/2021,04/16/2021,MEIJER # 182,Groceries,Sale,-50.03,
04/15/2021,04/16/2021,LAKESHORE RECYCLING SYST,Bills & Utilities,Sale,-63.06,
04/13/2021,04/14/2021,AMZN Mktp US*KY02F6AD3,Shopping,Sale,-24.39,
04/12/2021,04/13/2021,AMZN Mktp US*986OD8RQ3,Shopping,Sale,-29.15,
04/11/2021,04/13/2021,ST PATRICK CHURCH,Gifts & Donations,Sale,-40.00,
04/12/2021,04/13/2021,AMZN Mktp US*AZ9RO3I43,Shopping,Sale,-42.12,
04/11/2021,04/12/2021,DAIRY QUEEN #15200,Food & Drink,Sale,-22.08,
04/11/2021,04/12/2021,BLUE GOOSE SUPERMAR,Groceries,Sale,-17.71,
04/10/2021,04/11/2021,WALGREENS #6795,Health & Wellness,Sale,-13.72,
04/08/2021,04/11/2021,MEIJER # 182,Groceries,Sale,-16.70,
04/11/2021,04/11/2021,CHIPOTLE ONLINE,Food & Drink,Sale,-63.23,
04/08/2021,04/09/2021,Amazon.com*2P2JG51X3,Shopping,Sale,-63.70,
04/08/2021,04/09/2021,AMZN Mktp US*AE6FW2R83,Shopping,Sale,-68.67,
04/07/2021,04/09/2021,Amazon.com*N46S530E3,Shopping,Sale,-487.95,
04/07/2021,04/09/2021,GOOGLE *Google Storage,Bills & Utilities,Sale,-1.99,
04/07/2021,04/07/2021,AUTOMATIC PAYMENT - THANK,,Payment,2626.38,
04/03/2021,04/05/2021,MEIJER # 182,Groceries,Sale,-286.12,
04/02/2021,04/04/2021,ANGELO CAPUTO'S FRE,Groceries,Sale,-47.28,
04/03/2021,04/04/2021,THE FRESH MARKET 059,Groceries,Sale,-70.71,
04/02/2021,04/04/2021,ICP*Goldfish Swim School,Education,Sale,-280.00,
03/31/2021,04/02/2021,MEIJER # 182,Groceries,Sale,-127.85,
03/31/2021,04/01/2021,AMZN Mktp US*HS1AX0273,Shopping,Sale,-29.50,
03/30/2021,04/01/2021,Amazon.com*C18Q21MN3,Shopping,Sale,-11.82,
03/30/2021,04/01/2021,MEIJER # 182,Groceries,Sale,-4.67,
